rank,address,chains,label,source,win_rate,total_trades,winning_trades,losing_trades,avg_multiplier,max_multiplier,early_entries,best_early_entry_x,best_early_token,total_pnl_usd,avg_pnl_per_trade,score
1,0xa47ce7c308206ec5db8010d4e23e738fcee78aec,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
2,0xc7f64c1a28c1d0828473041e53e2821268416014,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
3,0x72a84b6cd8c8244695a389eadf28d4d2ef6d7136,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
4,0xc465d2a88e1a1365359ef2215b7692470d0e6c01,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
5,0x06833d4d535997bee0f64d7b6d1721283f4486ef,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
6,0xc7b5255e140e9db0e8668e2d8916655a239a45ff,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
7,0x5bf389aa78c005f838e3a4635127ff6eb80b02e8,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
8,0xbe01b763c2f3c7abd9c65a1cec5459386c4efa00,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
9,0xc0053a2a5a5881d457db51297a365d760750552f,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
10,0x354b32251aa7c4ff13a1f891c613e8249b3de67a,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
11,0xc78929342863dab33758003148991053e8728b1b,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
12,0x859fce1d929f09fb6fce9eb11eb26dc195f88f17,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
13,0xd2513de761045a7a86426a1e5fbd256407bb83c6,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
14,0x70b6176775172dde68c5b5c5fcc8b6f417959ce7,eth,,gecko_terminal,100.0,1,1,0,58.441,58.44,1,58.44,MIRA,0.0,0.0,0.0
